id,user_id,price,created_at,product_id,role_id
1,20055,10,1/18/2021 14:46,,2
2,20055,10,1/18/2021 14:48,,2
3,20055,10,1/18/2021 14:50,,2
4,10331,10,1/18/2021 14:50,,2
5,11077,10,1/18/2021 14:52,,2
6,10331,20,1/18/2021 14:56,,2
7,9554,10,1/18/2021 15:18,,
8,11077,10,1/18/2021 16:45,,2
9,11077,10,1/18/2021 16:46,,2
10,11077,10,1/18/2021 16:48,,2
11,28496,10,1/20/2021 11:48,,2
12,28506,10,1/20/2021 17:31,,2
13,28507,10,1/20/2021 17:48,,2
14,28513,10,1/21/2021 9:56,,2
15,9609,10,1/21/2021 10:56,,7
16,9609,10,1/21/2021 10:56,,7
17,28504,10,1/21/2021 10:57,,2
18,24163,10,1/21/2021 12:55,,2
19,27689,500,1/21/2021 17:10,,2
20,28532,10,1/23/2021 12:34,,2
21,28532,10,1/23/2021 12:36,,2
22,28532,10,1/23/2021 19:00,,2
23,16539,10,1/24/2021 10:52,,2
24,9609,10,1/24/2021 17:03,,7
25,27228,10,1/26/2021 7:52,,2
26,28506,10,1/26/2021 7:52,,2
27,28506,10,1/26/2021 9:36,,2
28,30075,10,1/27/2021 11:11,,2
29,12998,10,1/27/2021 15:48,,2
30,12998,10,1/27/2021 16:25,,2
31,28506,20,1/28/2021 13:47,,2
32,9609,10,2/1/2021 12:12,,7
33,9609,10,2/1/2021 12:12,,7
34,9609,10,2/1/2021 12:13,,7
35,9609,10,2/1/2021 12:13,,7
36,9609,10,2/1/2021 12:32,,7
37,9609,10,2/1/2021 12:32,,7
38,9609,10,2/1/2021 12:33,,7
39,9609,10,2/1/2021 12:49,,7
40,30221,10,2/2/2021 10:12,,2
41,20921,500,2/4/2021 11:03,,2
42,20921,10,2/4/2021 11:04,,2
43,31115,10,2/4/2021 13:00,,2
44,28626,10,2/5/2021 16:17,,2
45,29845,10,2/5/2021 18:04,,2
46,31149,10,2/6/2021 14:18,,2
47,22648,10,2/8/2021 11:13,,2
48,31169,10,2/9/2021 11:17,,2
49,31169,10,2/9/2021 11:28,,2
50,28506,10,2/9/2021 13:12,,2
51,29583,10,2/9/2021 16:16,,2
52,29727,10,2/10/2021 11:14,,2
53,31254,10,2/10/2021 18:50,,2
54,31264,10,2/10/2021 20:32,,6
55,30062,200,2/10/2021 21:39,,2
56,30062,10,2/10/2021 21:39,,2
57,20806,10,2/11/2021 11:59,,2
58,24423,10,2/14/2021 15:13,,2
59,24423,10,2/14/2021 15:40,,2
60,9609,10,2/15/2021 16:44,,7
61,28506,10,2/16/2021 14:24,,2
62,28506,10,2/16/2021 14:24,,2
63,24163,10,2/16/2021 14:36,,2
64,28506,10,2/16/2021 14:44,,2
65,28506,10,2/16/2021 14:45,,2
66,11213,10,2/16/2021 18:30,,2
67,28478,40,2/17/2021 13:42,,6
68,21389,40,2/23/2021 13:16,,2
69,21389,30,2/23/2021 13:17,,2
70,10349,10,2/23/2021 18:18,,2
71,10349,10,2/23/2021 18:25,,2
72,10349,50,2/23/2021 18:48,,2
73,10349,40,2/23/2021 18:48,,2
74,10349,20,2/23/2021 18:56,,2
75,10349,10,2/23/2021 18:57,,2
76,31512,40,2/24/2021 3:57,,2
77,18553,10,2/24/2021 16:49,,2
78,32439,20,2/25/2021 12:00,,2
79,28506,10,2/25/2021 17:19,,2
80,12998,10,2/26/2021 8:02,,2
81,12998,10,2/26/2021 10:33,,2
82,12998,10,2/26/2021 10:38,,2
83,12998,10,2/26/2021 10:38,,2
84,12998,10,2/26/2021 10:38,,2
85,12998,10,2/26/2021 10:38,,2
86,9609,10,2/26/2021 10:41,,7
87,12998,10,2/26/2021 10:43,,2
88,28506,10,2/26/2021 11:25,,2
92,28441,10,3/3/2021 13:22,,2
93,32567,10,3/3/2021 23:10,,2
94,32567,10,3/3/2021 23:13,,2
95,32567,10,3/4/2021 8:44,,2
96,19731,10,3/7/2021 1:14,,2
97,34027,10,3/7/2021 13:35,,2
98,12998,20,3/11/2021 14:01,,2
99,12998,203,3/11/2021 14:01,,2
101,29921,20,3/12/2021 8:35,,2
102,29921,20,3/12/2021 8:36,,2
103,29921,300,3/12/2021 8:36,,2
105,13021,20,3/14/2021 14:57,,2
106,34148,20,3/14/2021 21:11,,2
107,34148,20,3/14/2021 21:11,,2
116,31169,20,3/15/2021 18:33,,2
117,31169,50,3/15/2021 18:39,,2
118,31169,20,3/15/2021 18:53,,2
119,31169,20,3/15/2021 18:57,,2
120,31169,20,3/15/2021 19:02,,2
121,31169,20,3/15/2021 19:02,,2
134,34148,20,3/18/2021 18:07,,2
141,34148,20,3/19/2021 16:50,,2
142,34148,40,3/19/2021 16:51,,2
145,31374,30,3/19/2021 22:23,,2
146,34148,43,3/19/2021 22:29,,2
147,34148,43,3/19/2021 22:31,,2
148,27992,20,3/23/2021 3:04,,2
149,27992,20,3/23/2021 3:06,,2
154,34562,20,3/23/2021 20:15,,2
155,11410,20,3/24/2021 1:23,,2
156,16539,20,3/24/2021 13:32,,2
158,36483,20,3/24/2021 16:18,,2
159,31459,20,3/24/2021 16:28,,2
160,31459,20,3/24/2021 16:29,,2
161,31459,20,3/24/2021 16:39,,2
162,31459,20,3/24/2021 16:46,,2
163,31176,20,3/24/2021 19:46,,2
164,31176,5,3/24/2021 19:46,,2
165,31176,5,3/24/2021 20:02,,2
166,31176,10,3/24/2021 20:21,,2
167,31176,5,3/24/2021 20:23,,2
168,32535,20,3/24/2021 21:58,,2
169,36505,20,3/25/2021 14:52,,2
170,36505,20,3/25/2021 14:55,,2
172,36520,30,3/26/2021 11:38,,2
173,36520,20,3/26/2021 12:00,,2
174,36520,20,3/26/2021 12:57,,2
175,11410,50,3/26/2021 18:57,,2
186,35575,20,3/30/2021 16:56,,2
188,35575,20,3/30/2021 19:03,,2
189,35575,20,3/30/2021 21:16,,2
201,36694,20,3/31/2021 15:00,,2
205,17999,20,3/31/2021 17:48,,2
209,36712,20,3/31/2021 19:33,,2
210,36712,20,3/31/2021 21:16,,2
211,36738,20,4/1/2021 1:49,,2
212,36730,20,4/1/2021 15:23,,2
214,34532,20,4/2/2021 19:12,,7
215,36854,20,4/2/2021 21:55,,2
216,36854,20,4/4/2021 11:09,,2
217,24365,20,4/5/2021 12:26,,2
219,36855,25,4/6/2021 18:13,,2
220,36855,30,4/6/2021 18:14,,2
221,36806,20,4/6/2021 23:02,,2
